guid,news_headline,news_short,news_long,news_date
7,Best Places to Work - Washington,"Seattle Business Monthly declared Deacon one of the 54 Best Places to Work in Seattle, followed shortly by Washington CEO magazine and a 19th place state ranking for Remco.","In 2008, both S.D. Deacon of Washington and RemcoDeacon were recognized as providing a fantastic working atmosphere in two separate competitions. Seattle Business Monthly declared S.D. Deacon one of the 54 Best Places to Work in Seattle, followed shortly by Washington CEO magazine and a 19th place state ranking for RemcoDeacon.",1212278400
9,Best Places to Work - Oregon,"We rose three spots to finish 9th in Oregon Business Magazine's ""Best Company to Work For."" We also made the grade in the ""Best 20 Places to Work in Portland"" by Portland Monthly Magazine.","Our Oregon office has been praised repeatedly for excellence. We rose three spots to finish 9th in Oregon Business Magazine's ""Best Company to Work for in Oregon"" 2008 competition. We also made the grade in the ""Best 20 Places to Work in Portland"" by Portland Monthly Magazine in 2006.",1209600000
10,Best Places to Work - California,"For four years, we have been in the Sacramento Business Journal's ""Top Ten Best Places to Work."" Based on employee surveys, we jumped from 4th in 2007, to 3rd in 2008 and 2nd in 2009 and 2010.","For four years, we have been in the Sacramento Business Journal's annual ""Top Ten Best Places to Work."" Based on employee surveys, we jumped from 4th in 2007, to 3rd in 2008 and 2nd in 2009 and 2010.",1288396800
11,Diversity in Contracting from Portland Development Commission,"Honoring our pledge to support our communities, the project achieved a LEED certification and surpassed the requirement to hire minorities, women & emerging small businesses contractors.","S.D. Deacon received the maximum allowable grant from Central Eastside Urban Renewal Area programs to purchase and renovate the old Copeland Lumber Building near Lloyd Center. Honoring our pledge to support our communities, the project achieved a LEED certification and surpassed the requirement to hire minorities, women & emerging small businesses contractors.",1185926400
12,Macy's Downtown Portland Renovations,S.D. Deacon's renovation of the Macy's historic building received recognition in the Portland Daily Journal of Commerce due to the high complexity of the project and coordination efforts.,S.D. Deacon's renovation of the iconic downtown Macy's received recognition in the Portland Daily Journal of Commerce due to the high profile of the historic building and the complexity of the project and coordination efforts.,1201651200
13,"Glumac Carbon Consciousness Award for Big Foot II, SEH America, Inc.","Glumac, an engineering firm committed to ecological sustainability in construction, recognized S.D. Deacon's dedication to green building with their Carbon Consciousness Award.","Glumac, an engineering firm committed to ecological sustainability in construction, recognized S.D. Deacon's dedication to green building with their Carbon Consciousness Award. Through careful design management and focused equipment selection, we were able to offset carbon emissions of 60 tons over the next 25 years on a recent SEH project.",1170288000
14,Accolades from Bureau of Police on IKEA Opening Day,S.D. Deacon received recognition from the Portland Police Bureau for our cooperation and assistance during the very hectic five-day grand opening of the new IKEA store at Cascade Station.,S.D. Deacon received recognition from the Portland Police Bureau for our cooperation and assistance during the very hectic five-day grand opening of the new IKEA store at Cascade Station near the Portland International Airport.,1186704000
15,Building for The Future in the Sacramento Business Journal,"Richard Smith, President of S.D. Deacon Corp. of California, spoke about S.D. Deacon's philosophy and challenges with materials and qualified personnel industry-wide.","Richard Smith, President of S.D. Deacon Corp. of California, spoke with the Sacramento Business Journal in May of 2007 about S.D. Deacon's philosophy and challenges with materials and qualified personnel industry-wide.",1180051200
16,Oregon Ethics in Business Award,"S.D. Deacon was selected to win the Oregon Ethics in Business Award for demonstrating ethical business practices in the workplace, marketplace, environment and community.","Each year, the Portland Business Journal, Samaritan Counseling Centers, Willamette University and Rotary Club of Portland determine recipients of the Oregon Ethics in Business Awards. S.D. Deacon was excited to be selected in the for-profit category in 2007 for demonstrating ethical business practices in the workplace, marketplace, environment and community.",1178841600
17,Committed to Excellence in Construction Today,S.D. Deacon Corp. was delighted to celebrate our 25th anniversary with a year-long celebration in 2006. Construction Today featured an interview with founder Steve Deacon in their August edition.,S.D. Deacon Corp. was delighted to celebrate our 25th anniversary with a year-long celebration in 2006. Construction Today featured an interview with founder Steve Deacon in their August edition.,1154390400
18,J.R. Roberts Merger with S.D. Deacon,"In Spring of 2006, S.D. Deacon Corp. of California and J.R. Roberts, Inc. merged to become the third largest general contractor in the Sacramento Valley.","In Spring of 2006, S.D. Deacon Corp. of California and J.R. Roberts, Inc. merged to become the third largest general contractor in the Sacramento Valley. This mutually beneficial fusion was discussed in a January 2006 edition of the Sacramento Business Journal.",1137369600
19,2009 ABC Excellence in Construction Awards,"S.D. Deacon Corp. of Washington is pleased to receive the Mixed-Use Award for The Landing. This $77M 728,000 sf mixed-use urban lifestyle center is located in Renton.","S.D. Deacon Corp. of Washington is pleased to receive the Mixed-Use Award for The Landing. This $77M 728,000 sf mixed-use urban lifestyle center is located in Renton.",1236643200
20,ABC Excellence in Construction - Community Service Specialty Construction Award,Over 50 subcontractors were recognized for joining Rebuilding Together and S.D. Deacon in building A Home for Matthew. Their generosity allows the Garries to continue caring for their son at home.,Over 50 subcontractors were recognized for joining Rebuilding Together and S.D. Deacon in building A Home for Matthew. Their generosity allows the Garries to continue caring for their son at home.,1236643200
21,Best Workplaces for Recycling & Waste Reduction,"King County recognized S.D. Deacon's Seattle EcoAction Committee's efforts to increase recycling, compost and reduce paper use. Our EcoAction program works to reduce our impact on the environment.","S.D. Deacon's Seattle office was recognized King County's 2009 Best Workplaces for Recycling & Waste Reduction. The award recognizes the hard work of S.D. Deacon's Seattle EcoAction Committee to increase office recycling, compost food scraps and reduce paper use in the office.  S.D. Deacon's EcoAction program works to reduce our impact on the environment and educate our employees and clients on how they can make a difference.",1249084800
22,S.D. Deacon Portland Recognized as High Performance Green Workspace,This award goes to buildings that meet the Office of Sustainable Development's G/Rated standard for green tenant improvements.,"S.D. Deacon's Portland office won designation as a ""High Performance Green Workspace"" from the City of Portland. The award goes to buildings that meet the Office of Sustainable Development's G/Rated standard for green tenant improvements. The Portland office remodel included many green elements, including reused and recycled materials, energy efficient lighting and extensive daylighting.",1249084800
23,OSHA SHARP Award,We would like to congratulate the Villa Granada team whose exemplary performance earned the OSHA SHARP Award which encourages self-sufficiency in managing occupational safety and health.,.,1282780800
25,Recycle at Work Certified by the City of Portland,The Portland office is Recycle at Work Certified by the City of Portland.  This certification recognizes our efforts to reduce office waste by  educating employees and ensuring that we recycle.,"The Portland office is Recycle at Work Certified by the City of Portland.  This certification recognizes the Portland offices' efforts to increase recycling of office waste by educating employees, making recycling containers available and ensuring that we recycle all paper, bottles and cans.",1297728000
26,Winners of the Waste Management Recycle Rewards Contest,The Sacramento office won the Waste Management Recycle Rewards Contest in September of 2010 for their exemplary office recycling efforts.,The Sacramento office won the Waste Management Recycle Rewards Contest in September of 2010 for their exemplary office recycling efforts.,1284508800
27,"Deacon, NW Photon Form Solar Joint Venture","We have joined up with solar system installer NW Photon Energy on a joint venture called DC-Energy to perform large solar projects on the West Coast. For more information, visit www.dc-energy.net.","We have joined up with solar system installer NW Photon Energy on a joint venture called DC-Energy to perform large solar projects on the West Coast. For more information, visit www.dc-energy.net.",1298851200
28,5 Year Anniversary of Deacon Charitable Foundation,"More than 600 grants awarded to organizations in Oregon, Washington and California, crowning S.D. Deacon's 30-year tradition of philanthropy.","More than 600 grants awarded to organizations in Oregon, Washington and California, crowning S.D. Deacon's 30-year tradition of philanthropy.",1317772800
29,Portland Business Journal's 2011 Corporate Philanthropy Survey,S.D. Deacon is thrilled to announce that the Portland Business Journal has ranked us as one of the top 10 philanthropic companies in the medium category for 2011.,S.D. Deacon is thrilled to announce that the Portland Business Journal has ranked us as one of the top 10 philanthropic companies in the medium category for 2011.,1316476800
30,Orange County Business Journal's 2011 Best Places to Work,"What S.D. Deacon's employees already knew, is now confirmed. We made the Best Places to Work list, as ranked by the Orange County Business Journal for 2011.","What S.D. Deacon's employees already knew, is now confirmed. We made the Best Places to Work list, as ranked by the Orange County Business Journal for 2011.",1315180800
