nid,title,,,,projectcity,projectstate,office,category,,projectdescrip
14,Warner Pacific College,,,,Portland,Oregon,Portland,Education and Libraries,,"""This two-story, 31,000 sf remodel and addition at Warner Pacific College presented serious obstacles - both time and money. We negotiated the challenging contract knowing the projected costs were $500,000 over budget and that all construction had to be complete in just 11 weeks during summer break. Nevertheless, we delivered the classrooms, dining hall, kitchen, music room and administrative offices in time for fall classes and within the owner's budget."""
15,Seattle Country Day School,,,,Seattle,Washington,Seattle,Education and Libraries,,
16,NW Jeep Eagle,,,,Beaverton,Oregon,Portland,Auto Dealerships,,
17,Medford Headquarters Library,,,,Medford,Oregon,Portland,Education and Libraries,,
18,Buffalo Wild Wings,,,,Multiple Locations,,Portland,Food Service,,
19,McCormick and Schmick's Grill,,,,Tualatin,Oregon,Portland,Food Service,,
20,Whole Foods Market,,,,Multiple Locations,,Portland,Grocery,,
21,Safeway - Lifestyle Remodels,,,,Multiple Locations,,Portland,Grocery,,
22,SEH America  Inc.,,,,Vancouver,Washington,Portland,High-Tech and Industrial,,
23,Innovion Implant Center,,,,Gresham,Oregon,Portland,High-Tech and Industrial,,
24,Macy's Downtown Portland,,,,Portland,Oregon,Portland,Historical Renovations,,
25,The Benson Hotel Lobby and Bar Renovation,,,,Portland,Oregon,Portland,Historical Renovations,,
26,Barge Hall at Central Washington University,,,,Ellensburg,Washington,Portland,Historical Renovations,,
27,Governor Hotel,,,,Portland,Oregon,Portland,Historical Renovations,,
28,Hotel Modera,,,,Portland,Oregon,Portland,Hospitality,,
29,RiverPlace Hotel,,,,Portland,Oregon,Portland,Hospitality,,
30,Radiation Oncology Center at Meridian Park Hospital,,,,Tualatin,Oregon,Portland,Medical and Healthcare,,
31,Providence Parkrose Medical Center,,,,Portland,Oregon,Portland,Medical and Healthcare,,
32,A Street Station,,,,Lake Oswego,Oregon,Portland,Mixed-Use,,
33,Murray Scholls Town Center,,,,Beaverton,Oregon,Portland,Mixed-Use,,
34,Trillium Hollow Cohousing,,,,Portland,Oregon,Portland,Multi-Family Housing,,
35,Newell Overlook Apartments,,,,Oregon City,Oregon,Portland,Multi-Family Housing,,
36,Lloyd | Maris Advertising at Albers Mill,,,,Portland,Oregon,Portland,Office,,
37,Microtek Corporate Office,,,,Hillsboro,Oregon,Portland,Office,,
38,Tanger Outlet Center,,,,Lincoln City,Oregon,Portland,Parking,,
39,A Street Station,,,,Lake Oswego,Oregon,Portland,Parking,,
40,Congregation Neveh Shalom,,,,Portland,Oregon,Portland,Religious Facilities,,
41,Emmanuel Temple,,,,Portland,Oregon,Portland,Religious Facilities,,
