nid,title,,,projectshort,projectcity,projectstate,office,category,,projectowner,architect,,developer,developertitle,projecttestimonialtext,projectpersonname,projectpersontitle,projectpersoncompany,weight,descrip
14,Warner Pacific College,,,"31,000 sf remodel of classrooms and service facilities completed entirely during summer break.",Portland,Oregon,Portland,Education and Libraries,,Warner Pacific College,"SRG Partnership, Inc.",,,,,,,,2,"""This two-story, 31,000 sf remodel and addition at Warner Pacific College presented serious obstacles - both time and money. We negotiated the challenging contract knowing the projected costs were $500,000 over budget and that all construction had to be complete in just 11 weeks during summer break. Nevertheless, we delivered the classrooms, dining hall, kitchen, music room and administrative offices in time for fall classes and within the owner's budget."""
15,Seattle Country Day School,,,"A 25,000 sf middle school facility expansion of an existing private grade school.",Seattle,Washington,Seattle,Education and Libraries,,Seattle Country Day School,Carlson Architects,,,,,,,,1,"The 25,000 sf expansion of this private grade school located on Queen Anne Hill added complete middle school facilities, including 11 dedicated classrooms over four floors with rooms equipped for science labs, technology, music, art and a multipurpose area. All the buildings received interior and exterior finish upgrades throughout and a comprehensive seismic retrofit. Site improvements included a central courtyard for gathering, an outdoor playfield, and a ""green"" roof for the students, two new parking areas, a driveway connecting two city streets and a student drop-off / pick-up area for staff and parents."
16,NW Jeep Eagle,,,A complete renovation of the showroom and maintenance area while the dealership remained open for business.,Beaverton,Oregon,Portland,Auto Dealerships,,Northwest Jeep Eagle of Beaverton,John L. Matteson Architects,,,,,,,,8,"By staggering the phases of construction in the showroom and maintenance areas, the dealership was able to remain open for business throughout the duration of the project. One particular challenge was shoring the very large cantilevered roof while the remainder of the structure was built around it."
17,Medford Headquarters Library,,,3-D modeling of the structural steel kept costs down on this beautiful community library.,Medford,Oregon,Portland,Education and Libraries,,Jackson County Library Services,Fletcher Farr Ayotte PC,,,,,,,,3,"Serving both the local community and Rogue Community College, this project featured a beautiful combination of precast concrete, brick, ground-faced CMU and composite metal panels.  Because of the building's unique shape and details, we used BIM to create a virtual 3-D model of the complex structural steel design of the building -  our ability to 'walk through' the building during the shop drawing process helped us avoid potentially costly obstacles.  Additionally, the building's 30-foot high concrete walls were placed in one continuous pour using self-consolidating concrete, making it the tallest pour of this type in the nation at the time."
18,Buffalo Wild Wings,,,A vibrant restaurant tucked into the ground floor of an existing parking structure in downtown Portland.,Multiple Locations,,Portland,Food Service,,"MBH Enterprises, LLC","Bruce M. Carlson, CMA",,,,,,,,1,"One of our first restaurants for Buffalo Wild Wings was constructed in the heart of downtown Portland on the first floor of an existing parking structure. Post-tensioned concrete structures above and awkward utility tie-ins below made the project most challenging. On the interior of the building, custom millwork throughout and more than 70 large-screen televisions differentiate Buffalo Wild Wings from other restaurants. Our success in Portland led to more negotiated projects with this client in Oregon and California."
19,McCormick and Schmick's Grill,,,This restaurant features a domed ceiling and stained-glass murals of the Columbia River Gorge.,Tualatin,Oregon,Portland,Food Service,,McCormick & Schmick Mgmt. Group,"Boora Architects, Inc.",,,,,,,,10,"Located in the very busy Bridgeport Village shopping center, this beautiful restaurant features a breathtaking stained-glass mural of scenes from the Columbia River Gorge set in the dome-shaped ceiling above the main dining area. The dome itself is supported by a large steel compression-ring consisting of rolled steel tubes. Installation of the dome and its support structure required intricate coordination with the custom woodwork that encases the steel tubes and the stained glass."
20,Whole Foods Market,,,S.D. Deacon has negotiated several projects for the gourmet market chain Whole Foods.,Multiple Locations,,Portland,Grocery,,Whole Foods Market,CTA Architects Engineers,,,,"The quality of work performed, professionalism and attention to details that your employees provide has made working together a truly pleasant experience.","Steve Scovel, Architect",Sr. Project Manager,CTA Architects Engineers,1,"S.D. Deacon has negotiated several projects for the gourmet market chain Whole Foods. Whole Foods incorporates restaurants, a sushi bar, coffee lounge, multiple specialty food islands and a cooking school into their stores. Their stores are notable for the use of innovative and unique materials and designs which add to the overall shopping experience. In addition to construction of brand new stores, we have also converted many Wild Oats grocers into the Whole Foods brand."
21,Safeway - Lifestyle Remodels,,,New store construction and remodels of existing Safeway grocery stores.,Multiple Locations,,Portland,Grocery,,"Safeway, Inc.",Multiple Architects,,,,"S.D. Deacon has excellent team players, looking out for maintaining design integrity and quality workmanship, as well as adherence to overall budget and schedule.",John L. Ralston,President,Ralston Architects,6,"Over the years we have completed more than 100 projects for Safeway, including both new stores and remodels. The projects have taken place all around California, Oregon and Washington.
Most recently we have been chosen to handle many of their Lifestyle remodels. These remodels provide a new look with spot lighting, rustic flooring, modified bakery and deli areas and relocation of numerous departments. All of the work takes place while the stores remain open for business, with much of the construction taking place at night to reduce inconvenience to the customers."
22,SEH America  Inc.,,,Our 26-year construction relationship has resulted in more than 50 projects for SEH.,Vancouver,Washington,Portland,High-Tech and Industrial,,"SEH America, Inc.",Group Mackenzie,,,,"We have contracted the services of S.D. Deacon on a large number of projects over the last decade. S.D. Deacon has proven their worth through fair prices, honesty and the ability to work in our existing facilities without disruption to ongoing production.",Gunars Kilpe,Director of Maintenance,"SEH America, Inc.",1,"Since 1982, we have had an ongoing relationship with silicon wafer manufacturer SEH America, completing more than 50 projects valued from $50,000 to $50M. Many of the projects were phased and included extensive mechanical and electrical systems, clean rooms and fast-track schedules. Most recently, we completed two projects valued at over $71M, while the plant continued operation around the clock. The work took place in seven buildings and involved over 400 craftspeople. The latest was handled on a design / build basis, resulting in an expedited schedule and significant reduction in change orders."
23,Innovion Implant Center,,,"Build-out and upgrades to a 58,000 sf manufacturing facility.",Gresham,Oregon,Portland,High-Tech and Industrial,,Innovion Foundry Ion Implantation,Group Mackenzie,,,,,,,,3,"This 58,000 sf manufacturing facility handles ion implantation on silicon wafers. Our scope included the entire build-out, including process mechanical and electrical systems, clean rooms, offices and the exterior utility yard. The facility was prepared to house nine ion implanters with additional capacity for up to 30. One significant challenge involved upgrading the existing warehouse building to withstand the loads imposed by the new rooftop mechanical equipment and the extensive array of roof-supported MEP pipe racks."
