GUID,,GUID,,,title,testimonial_text,testimonial_person_name,testimonial_person_title,testimonial_person_company,testimonial_visible
1,Testimonial ,1, from ,Lou Elliott,Testimonial 01 from Lou Elliott,"Without reservation we recommend S.D. Deacon. In our experience, S.D. Deacon and their competent, attentive and personable staff have consistently brought in jobs ranging from small tenant improvement work to new construction of multi-tenant retail shopping centers on time and on budget.",Lou Elliott,President,Elliott Associates Inc.,yes
2,Testimonial ,2, from ,Henry Fitzgibbon,Testimonial 02 from Henry Fitzgibbon,"I have been pleased to work with S.D. Deacon time and again on over a dozen different projects. We believe that building as a team has benefits to the owner that go well beyond just the monetary savings. With S.D. Deacon, you will have a great team since they approach every project with teamwork in mind.",Henry Fitzgibbon,Partner,Soderstrom Architects,yes
3,Testimonial ,3, from ,Anne Naito,Testimonial 03 from Anne Naito,"S.D. Deacon has always been very responsive to our every need, no matter how big or small. It is a pleasure to work with a reliable and competent company-one we can consistently rely upon to deliver our tenants' space on schedule and often under budget. When our tenants are happy, we are happy.",Anne Naito,Owner,Bill Naito Co.,yes
4,Testimonial ,4, from ,Jim Lampus,Testimonial 04 from Jim Lampus,"Through a strong, unified commitment, S.D. Deacon was able to deliver our completed facility 30 days early. More important, there was no sacrifice in job site safety or quality. Finally, from an owner's perspective, I thoroughly enjoyed working with the team. At every level of the company I consistently experienced honesty, integrity and a culture that puts the customer first.",Jim Lampus,,Alameda Equities,yes
5,Testimonial ,5, from ,Laurie Gaynor,Testimonial 05 from Laurie Gaynor,"We cannot express enough how refreshing it is to work in conjunction with such a top-notch group of individuals. S.D. Deacon should be extremely proud of the quality employees they have representing their company. Their attention to detail, integrity and commitment to excellence is extremely impressive and is to be applauded.",Laurie Gaynor,Treasurer,Emerald Valley Condominiums,yes
6,Testimonial ,6, from ,Jack Files,Testimonial 06 from Jack Files,"S.D. Deacon is a true, professional contractor that I could count on throughout the duration of the project, from the first safety and preconstruction meeting to the final close-out documents and punch list. I would be happy to work with S.D. Deacon on any future projects.",Jack Files,Construction Manager,Wild Oats & Whole Foods Markets,yes
7,Testimonial ,7, from ,Bob Miller,Testimonial 07 from Bob Miller,I cannot speak highly enough of the outstanding job S.D. Deacon did to make our project a success. Most important was their obvious concern not to disrupt the patients undergoing treatment.,Bob Miller,Partner,Meridian Park Oncology Center,yes
8,Testimonial ,8, from ,Jay Miller,Testimonial 08 from Jay Miller,"Getting subcontractors to work in harmony is rarely done well but S.D. Deacon did a remarkable job. I also appreciated the fact that they anticipated possible problems and as a result, there were very few change orders needed on my project.",Jay Miller,Construction Manager,Sierra Pacific Properties Inc.,yes
9,Testimonial ,9, from ,Randy Dugger,Testimonial 09 from Randy Dugger,"S.D. Deacon has been extremely helpful, cooperative and professional. I appreciate their genuine and sincere support of our tribal hiring preferences and their commitment to diversity in the workforce.",Randy Dugger,General Manager,Spirit Mountain Gaming Inc.,yes
10,Testimonial ,10, from ,Don Harton,Testimonial 10 from Don Harton,"From the first meeting on site, we discovered a remarkable attitude among S.D. Deacon: We challenged S.D. Deacon with a grueling schedule which our landlord doubted we could make and S.D. Deacon responded with a can-do spirit that would not be broken by reality.",Don Harton,Vice President of Design and Construction,Century Theatres,yes
11,Testimonial ,11, from ,Randy Dugger,Testimonial 11 from Randy Dugger,"This project is ahead of schedule and on budget, which alone would qualify as a major success. I also appreciate S.D. Deacon's ability to minimize construction inconveniences, helping to ensure a pleasant experience for our guests.",Randy Dugger,General Manager,Spirit Mountain Gaming Inc.,yes
12,Testimonial ,12, from ,Greg Myre,Testimonial 12 from Greg Myre,The experience and expertise displayed by S.D. Deacon resulted in a project that has exceeded our expectations.,Greg Myre,Director of Construction,Granite Bay Ventures,yes
13,Testimonial ,13, from ,Bruce H. Edelson,Testimonial 13 from Bruce H. Edelson,"Over my years in our industry, I have found that outstanding personnel are dedicated and professional and work together with all the members of the project team in order to achieve an outstanding result, no matter what their interests may be. Certainly S.D. Deacon and their personnel are typical of that high level of competence and professionalism.",Bruce H. Edelson,P.E.,On behalf of H Mart West Inc.,yes
14,Testimonial ,14, from ,Leslie Curran,Testimonial 14 from Leslie Curran,"During the course of this project, your team was quick to respond to any issues as they arose and they provided solutions to help expedite the process and keep the project on schedule.",Leslie Curran,Construction Manager,PetSmart,yes
15,Testimonial ,15, from ,Dennis Boone,Testimonial 15 from Dennis Boone,"It is a real pleasure to work with a contractor and team that are experienced, capable and take extreme pride in the job they do and the quality of the end product. S.D. Deacon showed outstanding leadership and performance.",Dennis Boone,President,Anderson & Boone Architects AIA P.S.,yes
